rank,district,state,risk_score,dominant_hazard,dominant_hazard_score,explanation,recommendation,population_at_risk,children_under5_at_risk,adaptive_capacity,wash_sanitation_pct,wash_disruption_days
17,Gopalganj,Bihar,7.85,flood,4.93,High flood hazard (4.9) compounded by poor sanitation (60%) and high population (4.5M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,4454642,553487,0.754,60.1,92.8
18,Kendrapara,Odisha,7.73,flood,5.84,High flood hazard (5.8) compounded by poor sanitation (57%) and high population (2.4M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,2434983,206973,0.82,57.3,128.6
19,Nagapattinam,Tamil Nadu,7.67,flood,5.39,High flood hazard (5.4).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,739906,51793,0.897,69.6,124.5
20,Puri,Odisha,7.62,flood,5.28,High flood hazard (5.3) compounded by high population (2.8M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2838292,241255,0.847,67.3,124.5
21,Kinnaur,Himachal Pradesh,7.53,cold wave,6.52,High cold wave hazard (6.5).,Distribute blankets and warm clothing; open night shelters; ensure hot water supply.,211788,15008,0.89,80.1,0.2
22,Saraikela-Kharsawan,Jharkhand,7.5,wet-bulb heat,3.72,High wet-bulb heat hazard (3.7) compounded by poor water access (0%) and poor sanitation (0%).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,3162921,363736,0.0,0.0,83.6
23,Jagatsinghapur,Odisha,7.46,flood,5.77,High flood hazard (5.8) compounded by poor sanitation (60%) and high population (1.3M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,1345402,114359,0.828,60.1,125.1
24,Bhadrak,Odisha,7.43,flood,5.27,High flood hazard (5.3) compounded by poor sanitation (62%) and high population (2.0M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,2033927,172885,0.823,62.0,118.9
25,Baleshwar,Odisha,7.35,flood,5.51,High flood hazard (5.5) compounded by high population (3.4M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,3384074,287646,0.834,70.9,116.3
26,Hardwar,Uttarakhand,7.35,flood,5.93,High flood hazard (5.9) compounded by high population (3.2M) and low adaptive capacity.,Prioritise flood early warning for dense settlements; child-safe evacuation points.,3195671,294033,0.0,69.8,53.9
27,Diu,Daman & Diu,7.31,flood,5.36,High flood hazard (5.4).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,125575,10674,0.925,89.7,3.6
28,Barpeta,Assam,7.29,flood,5.6,High flood hazard (5.6) compounded by poor sanitation (64%) and high population (2.7M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,2719746,258376,0.796,63.7,43.3
29,Pashchim Champaran,Bihar,7.23,flood,5.37,High flood hazard (5.4) compounded by poor sanitation (43%) and high population (6.9M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,6914264,838300,0.689,43.3,87.2
30,Vadodara,Gujarat,7.23,flood,5.76,High flood hazard (5.8) compounded by high population (4.5M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,4495160,382089,0.903,85.6,86.5
31,Siddharthnagar,Uttar Pradesh,7.22,flood,5.72,High flood hazard (5.7) compounded by poor sanitation (43%) and high population (4.1M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,4130890,495705,0.668,42.8,94.9
32,Thiruvarur,Tamil Nadu,7.21,flood,5.74,High flood hazard (5.7) compounded by high population (2.3M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2262254,158358,0.903,71.0,136.9
33,Ernakulam,Kerala,7.12,flood,5.8,High flood hazard (5.8) compounded by high population (4.0M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,4005403,277295,0.986,99.3,82.8
34,Surat,Gujarat,7.11,flood,5.71,High flood hazard (5.7) compounded by high population (9.5M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,9462108,804278,0.898,82.0,93.4
35,Anand,Gujarat,7.11,flood,5.6,High flood hazard (5.6) compounded by high population (3.8M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,3800694,323060,0.883,82.1,104.9
36,Siwan,Bihar,7.09,flood,4.11,High flood hazard (4.1) compounded by poor sanitation (48%) and high population (4.2M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,4186221,522770,0.733,47.7,84.2
37,Bharuch,Gujarat,7.08,flood,5.63,High flood hazard (5.6) compounded by high population (2.4M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2377163,202059,0.857,77.7,105.6
38,Cachar,Assam,7.08,flood,5.74,High flood hazard (5.7) compounded by poor water access (44%) and poor sanitation (58%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,2781823,261666,0.658,57.6,75.8
39,Kheda,Gujarat,7.07,flood,5.57,High flood hazard (5.6) compounded by poor sanitation (63%) and high population (2.9M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,2877624,244596,0.822,63.3,95.8
40,Kancheepuram,Tamil Nadu,7.06,flood,5.56,High flood hazard (5.6) compounded by high population (3.0M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,3009273,210650,0.905,75.9,128.9
41,Khordha,Odisha,7.04,flood,5.5,High flood hazard (5.5) compounded by high population (3.0M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2953205,251023,0.852,73.2,100.6
42,Darrang,Assam,7.03,flood,5.53,High flood hazard (5.5) compounded by high population (1.5M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,1541975,146488,0.807,67.9,50.7
43,Sivasagar,Assam,7.0,flood,5.5,High flood hazard (5.5) compounded by high population (1.1M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,1107411,105205,0.869,82.3,60.2
44,Mahrajganj,Uttar Pradesh,6.95,flood,5.45,High flood hazard (5.5) compounded by high population (4.3M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,4337913,520550,0.793,69.0,87.0
45,Kamrup,Assam,6.93,flood,5.34,High flood hazard (5.3) compounded by high population (2.8M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2836931,272050,0.806,68.7,57.3
46,Kushinagar,Uttar Pradesh,6.91,flood,5.41,High flood hazard (5.4) compounded by high population (5.1M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,5089443,610734,0.795,73.1,97.8
47,Gandhinagar,Gujarat,6.9,flood,5.4,High flood hazard (5.4) compounded by high population (3.7M) and groundwater stress (1.00).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,3744393,318274,0.9,84.6,68.1
48,Puducherry,Puducherry,6.9,flood,6.9,High flood hazard (6.9).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,870620,60943,0.939,84.6,127.7
49,Karimganj,Assam,6.89,flood,5.77,High flood hazard (5.8) compounded by poor water access (62%) and poor sanitation (62%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,1459498,136822,0.716,61.5,97.6
50,Mayiladuthurai,Puducherry,6.88,flood,6.82,High flood hazard (6.8) compounded by poor water access (0%) and poor sanitation (0%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,1242338,86964,0.0,0.0,133.0
51,Dhubri,Assam,6.86,flood,5.46,High flood hazard (5.5) compounded by poor sanitation (62%) and high population (1.9M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,1879416,173493,0.751,61.8,59.5
52,Kokrajhar,Assam,6.84,flood,5.36,High flood hazard (5.4) compounded by poor water access (87%) and high population (1.6M).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,1615303,153453,0.79,72.2,76.6
53,Mahesana,Gujarat,6.83,flood,5.33,High flood hazard (5.3) compounded by high population (2.8M) and groundwater stress (1.00).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2781265,236409,0.853,72.1,67.7
54,Darbhanga,Bihar,6.83,flood,3.18,High flood hazard (3.2) compounded by poor sanitation (49%) and high population (7.2M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,7158819,930646,0.67,48.7,90.8
55,Porbandar,Gujarat,6.83,flood,5.49,High flood hazard (5.5).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,758743,64493,0.905,85.7,79.6
56,Bongaigaon,Assam,6.83,flood,5.33,High flood hazard (5.3) compounded by high population (1.1M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,1139828,108283,0.817,72.5,61.4
57,Nalbari,Assam,6.8,flood,5.3,High flood hazard (5.3).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,693614,65894,0.836,68.1,57.1
58,Goalpara,Assam,6.79,flood,5.31,High flood hazard (5.3) compounded by poor water access (91%) and high population (1.5M).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,1491130,141658,0.817,75.3,77.1
59,Chirang,Assam,6.77,flood,5.31,High flood hazard (5.3) compounded by high population (1.1M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,1139131,108218,0.816,77.1,72.1
60,Saharsa,Bihar,6.77,flood,3.25,High flood hazard (3.2) compounded by poor sanitation (40%) and high population (3.5M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,3466714,450673,0.641,40.5,90.8
61,Thiruvallur,Tamil Nadu,6.76,flood,5.27,High flood hazard (5.3) compounded by high population (4.9M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,4947587,347351,0.906,75.6,134.6
62,Gir Somnath,Gujarat,6.76,flood,5.31,High flood hazard (5.3) compounded by high population (1.4M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,1410303,119875,0.844,74.3,73.7
63,Hailakandi,Assam,6.75,flood,5.36,High flood hazard (5.4) compounded by poor water access (41%) and poor sanitation (60%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,1154244,109222,0.681,60.0,95.3
64,Baksa,Assam,6.74,flood,5.26,High flood hazard (5.3) compounded by poor water access (90%) and high population (1.2M).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,1202265,114214,0.805,68.9,52.8
65,Kamrup Metropolitan,Assam,6.72,flood,5.35,High flood hazard (5.3) compounded by poor water access (87%) and poor sanitation (65%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,2106877,200154,0.807,65.2,31.3
66,Morigaon,Assam,6.71,flood,5.47,High flood hazard (5.5) compounded by poor sanitation (62%) and high population (1.7M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,1659317,162109,0.792,62.3,58.6
67,Dibrugarh,Assam,6.7,flood,5.2,High flood hazard (5.2) compounded by high population (2.1M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2126945,202060,0.841,75.3,63.6
68,Cuddalore,Tamil Nadu,6.67,flood,5.58,High flood hazard (5.6) compounded by poor sanitation (61%) and high population (4.1M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,4078984,285529,0.86,61.3,136.2
69,Valsad,Gujarat,6.67,flood,5.69,High flood hazard (5.7) compounded by high population (2.6M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2568870,226932,0.904,85.3,66.8
70,Mahisagar,Gujarat,6.67,flood,5.2,High flood hazard (5.2) compounded by poor sanitation (44%) and high population (1.7M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,1714549,145737,0.764,44.4,78.5
71,Dimapur,Nagaland,6.67,flood,5.12,High flood hazard (5.1).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,400942,36085,0.851,81.1,25.9
72,Samli,Uttar Pradesh,6.66,flood,4.97,High flood hazard (5.0) compounded by poor water access (0%) and poor sanitation (0%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,1734510,208142,0.0,0.0,90.1
73,Bahraich,Uttar Pradesh,6.63,flood,5.13,High flood hazard (5.1) compounded by poor sanitation (44%) and high population (6.0M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,6013137,721577,0.641,44.2,93.3
74,Kishtwar,Jammu & Kashmir,6.62,cold wave,6.03,High cold wave hazard (6.0) compounded by poor sanitation (60%) and poor water access (87%).,Night shelters; blanket distribution; hot meal programmes; protect water pipes from freezing.,529685,48550,0.788,59.6,0.0
75,Dhemaji,Assam,6.61,flood,5.18,High flood hazard (5.2).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,988254,93884,0.824,70.8,56.1
76,Panch Mahals,Gujarat,6.57,flood,5.07,High flood hazard (5.1) compounded by poor sanitation (59%) and poor water access (91%).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,2722712,231432,0.787,58.9,82.2
77,South Twenty Four Parganas,West Bengal,6.56,flood,5.88,High flood hazard (5.9) compounded by high population (22.4M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,22370510,1789641,0.857,70.1,119.5
78,Haora,West Bengal,6.51,flood,5.76,High flood hazard (5.8) compounded by high population (7.6M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,7600194,608015,0.862,72.9,124.5
79,Narmada,Gujarat,6.5,flood,5.12,High flood hazard (5.1) compounded by poor sanitation (55%) and high population (1.0M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,1039159,88327,0.768,54.6,55.0
80,Chhota Udaipur,Gujarat,6.5,flood,5.03,High flood hazard (5.0) compounded by poor sanitation (53%) and high population (1.6M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,1593565,135453,0.753,53.0,65.7
81,Cuttack,Odisha,6.5,flood,4.48,High flood hazard (4.5) compounded by poor sanitation (60%) and high population (4.2M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,4207786,357662,0.808,60.2,90.1
82,Junagadh,Gujarat,6.49,flood,5.1,High flood hazard (5.1) compounded by high population (2.2M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2210557,187899,0.89,81.7,81.7
83,Purba Medinipur,West Bengal,6.48,flood,5.93,High flood hazard (5.9) compounded by poor water access (88%) and high population (8.1M).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,8148116,653794,0.819,69.8,102.4
84,Kheri,Uttar Pradesh,6.47,flood,4.98,High flood hazard (5.0) compounded by high population (6.9M) and poor sanitation (66%).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,6857649,822917,0.752,65.6,89.0
85,Shrawasti,Uttar Pradesh,6.47,flood,5.01,High flood hazard (5.0) compounded by poor sanitation (58%) and high population (1.5M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,1455261,174631,0.69,58.1,85.5
86,Udham Singh Nagar,Uttarakhand,6.45,flood,4.95,High flood hazard (5.0) compounded by high population (2.8M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2786705,259227,0.834,70.9,72.0
87,Sipahijula,Tripura,6.45,flood,6.45,High flood hazard (6.5) compounded by poor water access (0%) and poor sanitation (0%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,916367,73309,0.0,0.0,93.6
88,Bareilly,Uttar Pradesh,6.44,flood,4.86,High flood hazard (4.9) compounded by high population (6.4M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,6436374,772366,0.779,79.7,88.3
89,Jyotiba Phule Nagar,Uttar Pradesh,6.44,flood,4.93,High flood hazard (4.9) compounded by high population (3.3M) and groundwater stress (0.54).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,3263810,391658,0.8,78.9,85.9
90,Pilibhit,Uttar Pradesh,6.44,flood,4.94,High flood hazard (4.9) compounded by high population (3.4M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,3389764,406772,0.768,76.8,92.4
91,Mumbai Suburban,Maharashtra,6.44,flood,6.44,High flood hazard (6.4) compounded by high population (12.2M) and poor sanitation (63%).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,12184975,1035723,0.867,62.6,83.6
92,Tinsukia,Assam,6.43,flood,4.99,High flood hazard (5.0) compounded by poor sanitation (67%) and high population (1.8M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,1848094,175569,0.794,66.7,63.4
93,Yanam,Puducherry,6.42,flood,3.97,High flood hazard (4.0).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,171047,12829,0.913,84.1,106.6
94,Udalguri,Assam,6.42,flood,4.99,High flood hazard (5.0) compounded by poor water access (82%) and high population (1.1M).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,1147568,109019,0.787,73.8,32.4
95,Udupi,Karnataka,6.4,flood,5.45,High flood hazard (5.5) compounded by poor water access (82%) and high population (1.1M).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,1108873,85510,0.917,94.5,108.7
96,Muzaffarnagar,Uttar Pradesh,6.4,flood,4.9,High flood hazard (4.9) compounded by high population (4.4M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,4374379,524926,0.83,80.1,94.3
97,Sitapur,Uttar Pradesh,6.39,flood,4.81,High flood hazard (4.8) compounded by poor sanitation (52%) and high population (7.7M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,7693964,923276,0.7,52.5,92.4
98,Gonda,Uttar Pradesh,6.38,flood,4.74,High flood hazard (4.7) compounded by poor sanitation (45%) and high population (5.8M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,5781736,693807,0.703,44.6,97.6
99,Rampur,Uttar Pradesh,6.37,flood,4.87,High flood hazard (4.9) compounded by high population (4.2M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,4229709,391640,0.825,79.0,83.8
100,North Twenty Four Parganas,West Bengal,6.36,flood,6.08,High flood hazard (6.1) compounded by high population (10.4M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,10429398,834353,0.892,80.4,118.4
101,Banswara,Rajasthan,6.36,flood,4.88,High flood hazard (4.9) compounded by poor sanitation (41%) and high population (3.2M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,3162295,345772,0.708,40.8,72.1
102,Aravali,Gujarat,6.36,flood,4.87,High flood hazard (4.9) compounded by poor sanitation (56%) and high population (1.7M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,1678969,142713,0.802,56.3,71.9
103,Namsai,Arunachal Pradesh,6.36,flood,4.89,High flood hazard (4.9).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,143064,13591,0.769,75.1,66.0
104,Charaideo,Assam,6.35,flood,4.85,High flood hazard (4.8).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,450901,42836,0.822,75.9,55.4
105,Dadra & Nagar Haveli,Dadra & Nagar Haveli,6.34,flood,5.29,High flood hazard (5.3) compounded by poor sanitation (63%).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,860505,76161,0.828,63.1,85.2
106,Jaisalmer,Rajasthan,6.33,drought,4.3,High drought hazard (4.3) compounded by high population (1.6M) and groundwater stress (1.00).,Diversify water sources; rainwater harvesting; demand management; MGNREGA drought works.,1565736,180078,0.811,75.7,38.2
107,Bijnor,Uttar Pradesh,6.28,flood,4.79,High flood hazard (4.8) compounded by high population (5.5M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,5490991,514137,0.849,78.2,78.5
108,Sant Kabir Nagar,Uttar Pradesh,6.28,flood,4.57,High flood hazard (4.6) compounded by poor sanitation (65%) and high population (1.9M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,1940626,232876,0.778,65.1,83.4
109,Jhargram,West Bengal,6.26,flood,4.96,High flood hazard (5.0) compounded by poor water access (0%) and poor sanitation (0%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,2053236,181711,0.0,0.0,104.8
110,Majuli,Assam,6.25,flood,5.95,High flood hazard (6.0) compounded by poor sanitation (66%).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,573676,54027,0.834,65.6,28.5
111,Jiribam,Manipur,6.21,flood,6.21,High flood hazard (6.2) compounded by poor water access (0%) and poor sanitation (0%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,14675,1247,0.0,0.0,55.6
112,Unokoti,Tripura,6.21,flood,6.21,High flood hazard (6.2) compounded by poor water access (0%) and poor sanitation (0%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,367679,29414,0.0,0.0,74.7
113,Shi Yomi,Arunachal Pradesh,6.2,cold wave,5.36,High cold wave hazard (5.4) compounded by poor water access (0%) and poor sanitation (0%).,Night shelters; blanket distribution; hot meal programmes; protect water pipes from freezing.,92699,8807,0.0,0.0,0.0
114,Deoria,Uttar Pradesh,6.2,flood,4.57,High flood hazard (4.6) compounded by high population (5.6M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,5577380,669287,0.808,69.1,98.1
115,Sabar Kantha,Gujarat,6.18,flood,4.76,High flood hazard (4.8) compounded by poor sanitation (61%) and poor water access (91%).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,2091511,177779,0.797,61.0,67.1
116,Nagaon,Assam,6.18,flood,5.34,High flood hazard (5.3) compounded by poor sanitation (66%) and high population (2.9M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,2878386,276902,0.806,66.1,65.8
117,Shahjahanpur,Uttar Pradesh,6.13,flood,4.56,High flood hazard (4.6) compounded by high population (4.8M) and low adaptive capacity.,Prioritise flood early warning for dense settlements; child-safe evacuation points.,4830176,579621,0.731,69.2,93.8
118,Karaikal,Puducherry,6.13,flood,6.13,High flood hazard (6.1).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,336668,23567,0.936,84.3,101.8
119,Moradabad,Uttar Pradesh,6.12,flood,4.48,High flood hazard (4.5) compounded by high population (5.4M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,5443458,546746,0.829,79.0,83.4
120,Saharanpur,Uttar Pradesh,6.11,flood,4.61,High flood hazard (4.6) compounded by high population (5.9M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,5943662,713238,0.83,83.8,74.2
121,Tawang,Arunachal Pradesh,6.09,cold wave,4.17,High cold wave hazard (4.2).,Distribute blankets and warm clothing; open night shelters; ensure hot water supply.,88617,8419,0.823,81.7,0.0
122,Batod,Gujarat,6.07,flood,4.73,High flood hazard (4.7) compounded by low adaptive capacity.,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,893040,75908,0.0,72.0,86.7
123,Alappuzha,Kerala,6.06,flood,5.68,High flood hazard (5.7) compounded by high population (2.6M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2565667,166768,0.992,99.2,57.3
124,Kullu,Himachal Pradesh,6.05,cold wave,5.42,High cold wave hazard (5.4).,Distribute blankets and warm clothing; open night shelters; ensure hot water supply.,582610,40784,0.891,81.2,0.1
125,North Garo Hills,Meghalaya,6.04,flood,4.68,High flood hazard (4.7) compounded by poor water access (52%) and low adaptive capacity.,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,488186,46527,0.742,84.9,47.1
126,Sahibganj,Jharkhand,6.03,flood,3.22,High flood hazard (3.2) compounded by poor sanitation (43%) and poor water access (88%).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,2410490,302222,0.622,43.2,85.4
